URL	AGE	SEX	LOC	CNT
B업체	20	MALE	강원	10
B업체	30	MALE	충남	161
B업체	70	MALE	서울	10
J업체	10	FEMALE		21
J업체	40	MALE	제주	9
F업체	30	FEMALE	강원	8
D업체	70	MALE		30
D업체	20	MALE	부산	88
J업체	30	MALE	대전	74
C업체	70	MALE	강원	3
I업체	50	MALE		20
D업체	70	MALE	대전	5
A업체	40	MALE	서울	214
C업체	50	MALE	전남	57
H업체	40	FEMALE	전남	1
C업체	40	FEMALE	광주	20
J업체	50	MALE	서울	211
J업체	30	MALE	제주	17
H업체	20	MALE	세종	1
H업체	40	MALE		103
F업체	70	MALE	전북	9
A업체	40	MALE	울산	40
B업체	50	FEMALE	광주	6
C업체	50	MALE	대구	82
F업체	20	FEMALE	전남	3
C업체	30	MALE	충남	193
B업체	40	MALE	충북	135
E업체	10	FEMALE	충남	1
F업체	70	MALE	부산	22
G업체	20	MALE		2
D업체	60	MALE	대구	18
C업체	30	MALE	세종	39
B업체	60	FEMALE	서울	4
F업체	70	MALE	대구	15
J업체	10	FEMALE	서울	2
D업체	60	FEMALE	울산	1
C업체	50	FEMALE	부산	29
I업체	40	MALE	경남	1
C업체	30	FEMALE	경기	260
F업체	30	MALE	경남	139
J업체	40	FEMALE	인천	19
J업체	50	FEMALE	강원	8
B업체	20	FEMALE	인천	7
A업체	40	MALE	충북	88
J업체	10	FEMALE	전남	1
J업체	10	MALE	울산	2
D업체	80	FEMALE		4
C업체	80	MALE	전북	2
J업체	40	FEMALE	부산	19
C업체	20	FEMALE	전남	16
C업체	40	FEMALE	경북	37
F업체	30	MALE	광주	31
F업체	10	FEMALE	세종	1
E업체	30	MALE	광주	110
E업체	30	FEMALE		45
F업체	30	MALE	전북	39
H업체	30	MALE	경기	130
C업체	60	MALE	경북	20
E업체	50	MALE	대구	17
A업체	30	FEMALE	대구	1
J업체			부산	3
G업체	50	FEMALE	서울	3
E업체	50	FEMALE	경북	2
E업체	60	MALE	부산	20
J업체	40	FEMALE	광주	10
D업체	60	FEMALE	충북	1
H업체	30	FEMALE	전남	2
C업체	90	MALE	경기	1
F업체	10	FEMALE	부산	2
F업체	70	MALE	세종	1
C업체	10	FEMALE	경기	36
B업체	50	MALE	강원	62
F업체	30	MALE	강원	37
A업체	20	FEMALE	경기	11
F업체	40	FEMALE		53
A업체	70	FEMALE		18
A업체	20	MALE	경남	13
A업체	60	FEMALE	경남	8
B업체	50	FEMALE	경기	37
B업체	70	MALE	전북	5
E업체	10	MALE	충남	1
E업체	50	MALE	강원	19
B업체	80	MALE	전남	1
B업체	40	MALE	울산	61
A업체	30	MALE	광주	54
E업체	30	FEMALE	전남	5
I업체	70	FEMALE	경북	1
C업체	30	FEMALE	부산	59
F업체	90	FEMALE		1
E업체	30	FEMALE	인천	11
C업체	70	FEMALE	부산	3
