userId,sex_cd,age5_band,pfgn1,pfgn2,avg_wtch_cnt,avg_fwtch_cnt,avg_buy_cnt,avg_buy_amt,price_band
2377988679,FEMALE,3.0,SF/판타지,로맨스,4.0,1.0,3.0,7067.0,2650.0
2378841618,FEMALE,8.0,액션,극장판 애니,4.0,2.0,1.0,4167.0,4167.0
2380060896,MALE,7.0,드라마,액션,5.0,4.0,1.0,5100.0,5100.0
2380077358,MALE,12.0,스릴러,액션,7.0,2.0,4.0,8034.0,2410.0
2380393556,FEMALE,10.0,드라마,스릴러,2.0,1.0,1.0,4667.0,4667.0
2381165790,FEMALE,11.0,액션,드라마,9.0,8.0,2.0,5767.0,3460.0
2381389693,MALE,10.0,드라마,극장판 애니,2.0,0.0,2.0,7134.0,4280.0
2381980738,MALE,6.0,액션,0,2.0,1.0,1.0,4584.0,4583.0
2382174752,FEMALE,9.0,액션,극장판 애니,1.0,0.0,1.0,5334.0,5333.0
2382214842,FEMALE,11.0,드라마,극장판 애니,3.0,1.0,2.0,4934.0,3700.0
2382775906,0,0.0,액션,코미디,3.0,2.0,2.0,5100.0,3825.0
238311510,MALE,10.0,액션,드라마,8.0,3.0,5.0,8184.0,1888.0
2383784543,FEMALE,10.0,성인,액션,6.0,3.0,3.0,5467.0,2343.0
2384449153,FEMALE,8.0,극장판 애니,0,2.0,1.0,1.0,5000.0,5000.0
2385941418,FEMALE,13.0,드라마,스릴러,3.0,2.0,2.0,6134.0,4600.0
2387388715,FEMALE,9.0,극장판 애니,액션,3.0,1.0,2.0,6967.0,3483.0
2388086605,FEMALE,9.0,액션,드라마,5.0,3.0,2.0,7500.0,3750.0
2390924067,FEMALE,5.0,액션,코미디,2.0,1.0,1.0,5834.0,5833.0
2390972651,MALE,9.0,액션,드라마,2.0,0.0,2.0,5434.0,4075.0
2392273586,MALE,11.0,성인,액션,28.0,0.0,3.0,6667.0,2857.0
2392450129,FEMALE,8.0,극장판 애니,드라마,2.0,0.0,2.0,6667.0,5000.0
2393383025,MALE,6.0,드라마,스릴러,4.0,3.0,2.0,6967.0,5225.0
2394174890,MALE,10.0,드라마,극장판 애니,2.0,1.0,1.0,4634.0,4633.0
2396232739,MALE,9.0,액션,SF/판타지,12.0,1.0,2.0,5834.0,3500.0
2396310919,FEMALE,11.0,드라마,0,3.0,1.0,1.0,5834.0,5833.0
2396733016,MALE,13.0,성인,0,3.0,0.0,3.0,5834.0,2500.0
2396923383,MALE,8.0,액션,드라마,5.0,4.0,2.0,4834.0,3625.0
2398025142,FEMALE,9.0,극장판 애니,SF/판타지,3.0,1.0,1.0,5834.0,5833.0
2398195443,MALE,10.0,드라마,0,5.0,4.0,1.0,6267.0,6267.0
2399499767,MALE,8.0,극장판 애니,0,2.0,1.0,1.0,4000.0,4000.0
2399870246,MALE,8.0,액션,드라마,4.0,1.0,3.0,7067.0,2356.0
2400265357,FEMALE,10.0,스릴러,SF/판타지,6.0,1.0,2.0,7167.0,5375.0
2400371019,FEMALE,10.0,극장판 애니,0,2.0,1.0,1.0,5834.0,5833.0
240147503,FEMALE,6.0,드라마,스릴러,4.0,1.0,2.0,6734.0,5050.0
240179065,MALE,5.0,액션,0,2.0,1.0,2.0,5934.0,3560.0
2402411684,FEMALE,9.0,액션,코미디,3.0,1.0,2.0,7900.0,3950.0
24026562,MALE,8.0,극장판 애니,0,2.0,1.0,1.0,5834.0,5833.0
2402812875,MALE,8.0,극장판 애니,공포,2.0,1.0,1.0,5000.0,5000.0
2403425549,MALE,8.0,극장판 애니,드라마,2.0,1.0,1.0,4834.0,4833.0
2403733840,FEMALE,8.0,드라마,액션,3.0,1.0,1.0,5000.0,5000.0
2403818970,MALE,6.0,드라마,액션,13.0,11.0,2.0,5934.0,3560.0
2403873392,FEMALE,7.0,액션,0,6.0,0.0,3.0,6667.0,2500.0
2404718422,FEMALE,8.0,드라마,극장판 애니,2.0,0.0,2.0,5934.0,3560.0
2404968240,MALE,9.0,액션,극장판 애니,5.0,3.0,2.0,5000.0,3750.0
240500696,MALE,11.0,드라마,0,2.0,1.0,1.0,5000.0,5000.0
2405623220,MALE,9.0,극장판 애니,0,1.0,0.0,1.0,4000.0,4000.0
2405982817,MALE,9.0,SF/판타지,드라마,4.0,2.0,1.0,4167.0,4167.0
2406082176,MALE,12.0,드라마,액션,2.0,0.0,2.0,6300.0,4725.0
2406789464,FEMALE,8.0,스릴러,극장판 애니,8.0,2.0,2.0,7100.0,4260.0
2407070352,MALE,9.0,스릴러,코미디,2.0,1.0,2.0,5467.0,4100.0
2407480936,MALE,5.0,액션,드라마,2.0,0.0,2.0,6967.0,5225.0
240766664,FEMALE,9.0,스릴러,액션,5.0,2.0,2.0,5467.0,4100.0
2407893589,MALE,8.0,극장판 애니,액션,24.0,16.0,4.0,7434.0,2027.0
2408825243,MALE,8.0,극장판 애니,로맨스,3.0,1.0,2.0,7334.0,4400.0
2409199220,FEMALE,7.0,극장판 애니,로맨스,7.0,0.0,1.0,4634.0,4633.0
2410077034,MALE,12.0,드라마,로맨스,3.0,0.0,3.0,7234.0,3100.0
241042221,FEMALE,8.0,액션,스릴러,5.0,2.0,2.0,7167.0,5375.0
2410487567,FEMALE,8.0,액션,0,2.0,0.0,2.0,6500.0,3250.0
2412916840,FEMALE,9.0,성인,액션,20.0,0.0,1.0,4167.0,4167.0
241320403,FEMALE,8.0,드라마,스릴러,4.0,3.0,2.0,5934.0,4450.0
2413638573,FEMALE,10.0,드라마,스릴러,2.0,1.0,1.0,4267.0,4267.0
2415345079,MALE,9.0,드라마,코미디,2.0,1.0,1.0,6134.0,6133.0
2415392507,FEMALE,10.0,로맨스,드라마,7.0,4.0,4.0,7334.0,2000.0
2415849338,FEMALE,7.0,극장판 애니,드라마,3.0,2.0,1.0,4634.0,4633.0
