COMPANY,AGE,SEX,LOC,FMIL_SGMT,MAU,구매력,2ND단말기보유점수,구매력점수,블로그활동점수,이사관심점수,공기질민감점수,도서잡지관심점수,인테리어관심점수,렌탈관심점수,홈케어서비스관심점수,계절가전제품관심점수,생활가전제품관심점수,주방용품가전제품관심점수,디지털전자제품관심점수
carrier,20,FEMALE,경기,키즈맘_초등생,1,,,,,1.2,,,,3.2,,34.7,35.2,8.5,16.2
carrier,20,FEMALE,경기,2인가구,3,10,7.6,10,5.3,6.9,,,7.4,,,31,26.3,8.3,12.4
carrier,20,FEMALE,경기,,99,8.3,7.5,8.3,7.7,8,8,8.8,8,0.5,8,22.8,20.8,6,10.9
carrier,20,FEMALE,경남,,14,10,8.5,10,3.5,6.8,,8.3,7.3,,7.8,23.6,14.5,9.3,9.8
carrier,20,FEMALE,경남,키즈맘_미취학,2,10,7.5,10,7.3,5.6,,,8.9,,,39,38.3,9.5,17.6
carrier,20,FEMALE,경남,1인가구,3,0.1,7.5,0.1,8,0.6,,9.5,,0.3,,20.3,20.8,4.1,12.3
carrier,20,FEMALE,경남,중년_자녀동거,1,7.3,6.4,7.3,7.9,3.9,,,4.4,,,9.9,8.7,1.6,8.8
carrier,20,FEMALE,경북,1인가구,1,0,7.7,0,5.2,9.8,,,10,,,39.2,39.3,9.8,19.7
carrier,20,FEMALE,경북,중년_자녀동거,2,10,6.9,10,9.6,9.7,,,9.9,,8.1,22.6,24.7,5.1,13.7
carrier,20,FEMALE,경북,키즈맘_미취학,3,10,6.3,10,4.7,8.4,,8,9,8,,25.9,27.8,5.5,14.3
carrier,20,FEMALE,경북,,17,10,7.4,10,7.8,5.2,,8,7.1,,,30,26.7,9.2,14.4
carrier,20,FEMALE,광주,1인가구,2,,7,,8.5,9,,9.2,8.9,,,15.2,13.7,3.9,8
carrier,20,FEMALE,광주,2인가구,1,,7.4,,8,,,,,,,37.6,39,9.7,18.8
carrier,20,FEMALE,광주,중년_자녀동거,2,10,7.6,10,3.6,5.2,,,6.5,,,23.1,22.8,5.4,14.4
carrier,20,FEMALE,광주,,13,,,,,,,,,,,,,,
carrier,20,FEMALE,광주,키즈맘_미취학,1,10,6.4,10,,9.7,,,10,,,8.3,6.4,1.3,8.6
carrier,20,FEMALE,대구,2인가구,1,10,6.3,10,,0.9,,,7.7,,,17.8,17.7,4.6,9.1
carrier,20,FEMALE,대구,,5,,8,,8,8.8,,0,8.2,,,22.9,22.4,5,14.1
carrier,20,FEMALE,대전,중년_자녀동거,4,7.4,7.3,7.4,7.1,6.4,,,7.4,4.1,,13.6,13.5,3.5,7.6
carrier,20,FEMALE,대전,1인가구,1,,7.9,,,6.9,,,,,,0.3,0.3,0.1,0.2
carrier,20,FEMALE,대전,,15,,,,9.5,6.6,,,4.4,,,13.6,10.9,1.5,11.3
carrier,20,FEMALE,대전,키즈맘_미취학,1,,,,1,9.7,,,10,,,16.9,16.9,4.1,8.7
carrier,20,FEMALE,부산,,12,,7.5,,8.3,9,,,9,,,19.4,14.2,6.7,8.3
carrier,20,FEMALE,부산,2인가구,1,,7.6,,,4.8,,,8.6,,,13,7,5.5,6.9
carrier,20,FEMALE,부산,중년_자녀동거,3,0.1,7.5,0.1,8,1.1,,,4.5,,,23.7,21.9,5.7,12.3
carrier,20,FEMALE,부산,키즈맘_미취학,1,10,7.9,10,7.9,9.7,,,8.1,8.3,,16.9,23.3,4.9,8.7
carrier,20,FEMALE,서울,키즈맘_초등생,1,10,7.4,10,5.2,4,,,3.5,,,38.5,39.7,9.8,16.7
carrier,20,FEMALE,서울,키즈맘_미취학,2,,,,9.2,9.7,,,9.8,1.7,,17,16.9,4.4,8.8
carrier,20,FEMALE,서울,1인가구,7,10,7.3,10,6.6,7.2,8,,7.3,,,21.2,19.6,4.6,12.3
carrier,20,FEMALE,서울,,63,10,7.4,10,7.4,6.5,,,6.8,0.2,7.6,24.4,23.1,6.8,11.6
