base_company,AGE,SEX,other_company,overlap_users,total_users,overlap_ratio_percent
himart,20,MALE,xaomi,245,10479,2.3
himart,20,MALE,carrier,77,10479,0.7
himart,20,MALE,samsunge,17,10479,0.2
himart,20,MALE,haier,6,10479,0.1
himart,20,MALE,cooing,7,10479,0.1
himart,20,MALE,modevi,5,10479,0.0
himart,30,FEMALE,cuckoo,1765,12775,13.8
himart,30,FEMALE,lge,986,12775,7.7
himart,30,FEMALE,xaomi,214,12775,1.7
himart,30,FEMALE,carrier,83,12775,0.6
himart,30,FEMALE,samsunge,42,12775,0.3
himart,30,FEMALE,haier,16,12775,0.1
himart,30,FEMALE,cooing,4,12775,0.0
himart,30,FEMALE,modevi,2,12775,0.0
himart,30,MALE,cuckoo,2509,24817,10.1
himart,30,MALE,lge,1549,24817,6.2
himart,30,MALE,xaomi,1317,24817,5.3
himart,30,MALE,carrier,188,24817,0.8
himart,30,MALE,samsunge,115,24817,0.5
himart,30,MALE,haier,27,24817,0.1
himart,30,MALE,modevi,11,24817,0.0
himart,30,MALE,cooing,10,24817,0.0
himart,40,FEMALE,cuckoo,2154,14377,15.0
himart,40,FEMALE,lge,1544,14377,10.7
himart,40,FEMALE,xaomi,328,14377,2.3
himart,40,FEMALE,carrier,55,14377,0.4
himart,40,FEMALE,samsunge,23,14377,0.2
himart,40,FEMALE,haier,6,14377,0.0
himart,40,FEMALE,cooing,5,14377,0.0
himart,40,FEMALE,modevi,1,14377,0.0
himart,40,MALE,cuckoo,4054,32971,12.3
himart,40,MALE,lge,2668,32971,8.1
himart,40,MALE,xaomi,2356,32971,7.1
himart,40,MALE,carrier,208,32971,0.6
himart,40,MALE,samsunge,109,32971,0.3
himart,40,MALE,haier,28,32971,0.1
himart,40,MALE,cooing,19,32971,0.1
himart,40,MALE,modevi,2,32971,0.0
himart,50,FEMALE,lge,2017,12548,16.1
himart,50,FEMALE,cuckoo,1894,12548,15.1
himart,50,FEMALE,xaomi,118,12548,0.9
himart,50,FEMALE,carrier,61,12548,0.5
himart,50,FEMALE,samsunge,19,12548,0.2
himart,50,FEMALE,cooing,7,12548,0.1
himart,50,FEMALE,haier,5,12548,0.0
himart,50,FEMALE,modevi,1,12548,0.0
himart,50,MALE,cuckoo,2985,21198,14.1
himart,50,MALE,lge,2842,21198,13.4
himart,50,MALE,xaomi,866,21198,4.1
himart,50,MALE,carrier,135,21198,0.6
himart,50,MALE,samsunge,32,21198,0.2
himart,50,MALE,haier,17,21198,0.1
himart,50,MALE,cooing,10,21198,0.0
himart,50,MALE,modevi,1,21198,0.0
himart,60,FEMALE,lge,1065,6423,16.6
himart,60,FEMALE,cuckoo,978,6423,15.2
himart,60,FEMALE,xaomi,45,6423,0.7
himart,60,FEMALE,carrier,13,6423,0.2
himart,60,FEMALE,samsunge,6,6423,0.1
himart,60,FEMALE,haier,3,6423,0.0
himart,60,FEMALE,cooing,1,6423,0.0
himart,60,MALE,cuckoo,942,7508,12.5
himart,60,MALE,lge,922,7508,12.3
himart,60,MALE,xaomi,95,7508,1.3
himart,60,MALE,carrier,38,7508,0.5
himart,60,MALE,samsunge,3,7508,0.0
himart,60,MALE,modevi,1,7508,0.0
himart,60,MALE,haier,2,7508,0.0
himart,70,FEMALE,cuckoo,293,1960,14.9
himart,70,FEMALE,lge,262,1960,13.4
himart,70,FEMALE,xaomi,18,1960,0.9
himart,70,FEMALE,carrier,10,1960,0.5
himart,70,FEMALE,cooing,1,1960,0.1
himart,70,FEMALE,haier,1,1960,0.1
himart,70,MALE,cuckoo,218,1868,11.7
himart,70,MALE,lge,188,1868,10.1
himart,70,MALE,xaomi,16,1868,0.9
himart,70,MALE,carrier,8,1868,0.4
himart,70,MALE,samsunge,1,1868,0.1
lge,20,FEMALE,cuckoo,1103,17916,6.2
lge,20,FEMALE,himart,342,17916,1.9
lge,20,FEMALE,xaomi,42,17916,0.2
lge,20,FEMALE,carrier,22,17916,0.1
lge,20,FEMALE,haier,1,17916,0.0
lge,20,FEMALE,samsunge,5,17916,0.0
lge,20,FEMALE,modevi,1,17916,0.0
lge,20,MALE,cuckoo,1059,20820,5.1
lge,20,MALE,himart,435,20820,2.1
lge,20,MALE,xaomi,117,20820,0.6
lge,20,MALE,carrier,34,20820,0.2
lge,20,MALE,samsunge,11,20820,0.1
lge,20,MALE,haier,5,20820,0.0
lge,20,MALE,cooing,6,20820,0.0
lge,20,MALE,modevi,1,20820,0.0
lge,30,FEMALE,cuckoo,2257,19905,11.3
lge,30,FEMALE,himart,985,19905,4.9
lge,30,FEMALE,xaomi,100,19905,0.5
lge,30,FEMALE,carrier,53,19905,0.3
lge,30,FEMALE,samsunge,25,19905,0.1
lge,30,FEMALE,cooing,4,19905,0.0
lge,30,FEMALE,modevi,2,19905,0.0
lge,30,FEMALE,haier,7,19905,0.0
lge,30,MALE,cuckoo,2114,23780,8.9
lge,30,MALE,himart,1550,23780,6.5
lge,30,MALE,xaomi,386,23780,1.6
lge,30,MALE,carrier,87,23780,0.4
lge,30,MALE,samsunge,46,23780,0.2
lge,30,MALE,haier,13,23780,0.1
lge,30,MALE,cooing,9,23780,0.0
lge,40,FEMALE,cuckoo,2911,22024,13.2
lge,40,FEMALE,himart,1543,22024,7.0
lge,40,FEMALE,xaomi,137,22024,0.6
lge,40,FEMALE,carrier,58,22024,0.3
lge,40,FEMALE,samsunge,19,22024,0.1
lge,40,FEMALE,cooing,3,22024,0.0
lge,40,FEMALE,haier,3,22024,0.0
lge,40,MALE,cuckoo,3528,25814,13.7
lge,40,MALE,himart,2670,25814,10.3
lge,40,MALE,xaomi,530,25814,2.1
lge,40,MALE,carrier,107,25814,0.4
lge,40,MALE,samsunge,37,25814,0.1
lge,40,MALE,haier,6,25814,0.0
