ton,dist,cost
5,138.4593445,30
5,138.4593445,30
11,42.93134042,16
14,81.71225004,17
11,165.1692269,30
5,97.93052774,18
5,82.55894601,17
5,82.55894601,17
5,214.6578644,25
5,224.608202,37
5,14.89284446,5.5
25,61.02591115,24
5,39.78136913,8
11,282.0880168,38
4,234.2256002,18
5,232.8215998,28
5,351.7317563,12
5,75.29648709,16
5,202.4402489,18
1,117.0017342,10
1,263.3850842,10
5,263.3850842,10
5,81.39649817,14
25,132.3086669,35
5,79.57530935,14
5,89.9904245,16
5,88.54721778,16
5,42.93134042,16
5,261.4372404,32
4,36.76475034,6
11,300.9164331,45
25,146.5271034,26
25,64.58266724,28
11,239.6556903,38
14,217.4567192,37
25,53.16708714,24
11,203.8571375,12
14,209.0583496,30
25,44.93898923,18
18,79.46617073,27
25,43.40180487,17
11,136.9746757,22
16,141.0661397,25
11,30.10184982,17
11,286.4442964,50
11,255.2658499,42
25,119.4081337,34
25,42.47768039,22
25,270.4902013,54
11,83.66210622,19
25,110.1344741,35
11,266.711616,40
11,67.02992794,23
5,173.2591641,28
25,211.4747279,50
18,157.9828758,30
5,153.4668074,27
1,27.98074019,6
22,152.5128196,38
25,327.0875653,60
18,38.2804607,16
11,70.19371954,23
11,33.82315359,13
1,257.4208799,17
11,185.605262,28.5
1,166.3452575,4
4,246.3190329,17.5
1,31.76492331,4.8
1,68.04620741,6
1,36.51636425,3.5
11,61.51118736,17.5
1,18.89685888,4.5
5,4.731134395,8.5
11,81.28231423,21
5,218.4820036,32
5,75.02971702,18
25,67.85780448,26
25,43.51571595,27
11,218.9623692,34
4,47.63274128,8
5,1.949259445,6
25,48.15854911,20
25,48.15854911,20
25,188.1790996,36
25,284.9169862,59
18,192.9494221,43
25,253.928091,50
25,67.76733622,27
25,228.8365055,56
25,111.9226628,38
25,45.95598963,22
5,42.27477108,10
14,162.5494347,28
25,115.2483479,22
5,24.41828008,8
1,117.4310683,6
25,223.0337461,50
5,99.81214882,17
4,43.7232447,7
5,314.0771934,35
11,106.5654072,36
25,224.6216211,42
25,284.9169862,57
25,284.9169862,58
25,248.9456106,52
25,284.9169862,55
25,259.5283528,51
18,166.8963798,42
25,63.73624206,25
11,30.10184982,17
25,273.8198693,58
5,276.8272884,33
11,74.34669175,22
11,256.4405422,30
11,252.5858136,34
25,133.505406,38
25,133.505406,38
25,76.01450747,30
25,64.46278234,27
11,72.52880664,19
25,139.6662239,38
25,142.7827098,36
11,38.28616655,10
25,290.392447,57
11,64.46714389,15
11,100.7852567,17
25,290.392447,57
11,100.5528974,14
11,76.5727349,16
11,26.90549469,13
11,13.78027532,13
11,274.9527073,20
11,286.2088019,40
18,158.0664306,36
11,81.82197586,22
11,148.4696757,16
11,103.9724539,18
25,199.5844769,45
25,187.404472,43
18,192.5226252,32
25,302.1754991,52
25,198.8839183,43
1,323.5683721,17
25,187.1228898,45
25,213.8359507,47
25,47.65641562,24
11,39.57135928,18
5,231.4410273,36
1,227.0028555,16
5,238.1450253,25
5,106.6006266,26
5,182.2884804,22
16,164.9514143,35
25,268.8175094,70
5,224.3833853,22
18,19.84865936,17
25,267.0632152,54
11,85.76610506,20
25,43.65974492,27
11,64.78764336,18
11,84.90778574,22
11,126.5846471,30
18,25.18344309,18
11,261.0701083,38
18,240.0674407,42
18,105.4447816,36
25,184.5989481,44
25,200.4214478,40
25,47.61074381,24
18,200.4214478,38
18,249.5453646,48
14,311.4533464,52
11,31.89850821,11
11,202.4402489,18
25,262.7113825,54
25,273.8198693,58
25,273.8198693,56
25,263.9462493,51
11,100.7419784,22
25,262.9907156,62
11,223.9867979,28
25,203.1421544,54
18,323.3759165,46
25,31.09007667,18
25,204.5394268,46
18,37.71358185,23
25,270.4902013,65
25,232.289457,47
25,227.4714909,52
18,281.6667705,40
18,268.2113269,44
25,16.02679314,16
11,261.6934213,38
22,221.4669255,50
18,96.92043891,21
11,250.9973131,38
11,288.6744076,40
11,271.7894127,38
18,100.9080401,23
25,223.9226762,55
25,277.5503531,63
25,159.2556389,33
25,99.73654413,27
11,158.0664306,36
25,225.7690559,43
25,129.4463793,36
11,246.4581852,38
25,264.228526,50
16,223.0337461,50
18,257.145279,42
11,295.5881879,45
25,226.2872093,50
25,55.94561928,23
11,295.5881879,45
5,66.23447834,14
18,198.0201649,38
18,72.75176148,25
25,211.4747279,50
11,327.2613271,48
25,124.6956844,34
11,97.81785954,21
14,238.871068,40
22,299.6828363,60
25,351.2116234,60
25,151.4356215,31
5,237.1160244,8
25,167.4515152,40
11,67.94400455,19
11,70.18294462,18
5,13.41509809,5
25,63.11764629,24
11,256.0901323,40
22,42.38612334,20
18,245.7609562,45
11,23.85629752,30
11,146.0772736,20
11,274.0376485,41
25,238.995871,60
5,105.621547,12
11,235.2299301,26
5,272.0697705,20
5,219.4203273,17
5,230.9912848,23
5,211.8679756,7
25,136.9072862,30
5,35.69553761,8
5,91.20010622,22
5,85.31824425,14
5,190.7862643,9
11,109.1774303,30
25,284.9169862,57
5,168.7258841,21
5,25.06817302,8
5,63.65415048,25
4,49.22668144,7
25,15.62075041,14
25,148.4485261,37
11,157.2625362,30
5,11.22208574,8
1,18.71278116,5
11,167.0835053,60
18,216.7555883,32
11,59.24209497,15
25,130.3294801,35
25,32.41762796,22
11,194.1860431,30
25,187.754016,50
11,34.06171996,12
25,190.2706216,45
11,81.63739994,28
11,89.98243026,65
25,62.2693881,32
5,48.26968537,14
1,250.4482753,17
11,150.3163411,56
25,70.33533474,26
11,111.8913824,25
11,294.0255332,40
11,245.3645914,36
11,127.4793956,17
25,252.6888052,55
18,241.8546829,48
18,110.2720015,26
11,105.8279131,52
25,205.8310558,43
25,252.6888052,55
25,240.8833335,53
5,181.6275511,24
25,318.4593949,60
5,163.5592864,18
5,181.6275511,25
11,239.3186973,43
5,276.1561939,15
5,155.6501601,11.35
1,73.24739016,5.5
5,114.1012999,17.5
5,88.49001899,17.8
5,275.9827945,22.7
1,57.96141832,6
5,140.0686517,25
5,130.900727,15
4,90.92583216,8
1,73.15005104,4.9
11,26.20046583,11.35
16,67.21225697,28
5,130.900727,16
18,103.8149771,30
14,116.7769861,29
25,98.00043017,30
25,63.24104194,23
18,278.7601093,50
11,198.6657515,28
25,230.2597761,42
25,111.7607401,28
25,78.2060943,30
11,303.3315848,38
5,143.6687143,21
25,112.9258638,35
25,298.3441914,60
25,63.73726948,29
11,73.59162032,20
11,184.1663012,40
11,71.98386823,23
18,260.4682525,55
11,35.35082233,9
11,106.3187143,19
11,97.58861512,21
11,73.59162032,20
25,137.0384543,34
25,245.5764681,50
25,100.8623364,28
11,231.1192522,42
18,49.45054676,20
22,235.6196516,40
11,82.39542842,26
25,245.5764681,48
11,205.016521,20
5,302.5107526,19
25,82.37963038,32
11,70.16367775,21
5,251.2574234,11
5,302.7097284,20
5,54.74116119,8
5,115.2013442,14
5,171.9202095,28
5,115.4866099,14
5,79.68240755,13
11,320.73684,45
25,79.4782997,22
11,54.44931482,18
25,244.2692977,48
25,66.5979457,28
11,120.940145,25
11,120.940145,25
25,112.8914886,30
11,38.04729605,15
11,38.04729605,15
14,303.9303727,43
5,154.7365422,38
4,111.5209347,9
11,45.09243714,19
11,143.2033078,21
25,284.5596823,60
25,191.7161797,48
5,181.3608382,40
11,103.0664292,26
5,72.08081677,18
1,141.1885526,7
25,61.22145717,30
25,60.13549891,28
5,95.51120424,15
25,290.392447,59
5,24.72337418,6
25,53.48878581,20
14,27.53147546,13
25,73.70434272,32
25,191.7161797,48
5,4.952764194,7
25,77.87134736,30
11,78.56881434,19
1,111.6579209,8
25,95.72641089,33
25,58.68812574,22
11,194.1860431,30
14,81.47196912,30
25,92.08626468,30
5,272.7348549,35
14,211.973395,40
1,100.8192181,7.5
5,236.1517161,25
25,332.9793293,58
25,290.392447,56
25,282.8556601,53
5,316.4309377,38
11,27.17885947,14
25,18.67584044,18
11,37.41326664,14
11,128.4246811,27
25,318.1458417,58
14,93.04748222,24
25,90.51376438,30
5,79.68240755,13
11,93.04748222,24
11,3.43176069,11
5,190.7862643,9
25,82.37963038,30
5,239.6890904,28
5,161.447065,20
1,110.2200566,10
5,48.4659158,13
25,273.8956186,54
5,147.7447037,20
5,42.20867507,10
5,237.919785,25
5,84.79242467,8
5,70.65576894,13
25,222.1820587,55
25,29.57959253,23
18,87.47981876,35
25,79.4491068,24
18,293.520253,18
25,145.2042818,38
25,145.2042818,38
25,260.3580532,58
25,251.9726855,48
25,47.98966958,30
25,259.5283528,60
11,136.7736866,30
25,19.47688119,26
11,261.4306965,36
11,308.1413492,40
25,247.9539926,55
16,322.3230386,48
18,215.6874972,40
11,139.1070099,21
25,184.3159909,37
25,178.8393409,40
11,125.5061114,24
25,64.35117872,32
5,252.1496049,35
18,84.93865174,23
1,38.72627852,9
14,306.9081199,50
25,19.97486169,18
11,51.78023983,12
25,81.58096238,24
25,90.50324513,33
25,244.2692977,48
18,109.9580655,27
25,247.9539926,55
25,98.16465315,30
5,91.51552531,22
18,74.90695214,30
25,34.77043395,23
25,160.6718752,47
25,161.3171139,47
11,34.64987695,12
5,34.64987695,12
5,109.2935726,16
5,74.00197016,20
5,77.52563668,20
18,74.90695214,30
5,101.7702808,16
25,74.90695214,30
1,106.4838548,8
5,227.8955119,25
5,62.94521578,13
5,38.99132037,13
25,74.90695214,30
25,37.70260606,16
18,66.92391028,22
25,128.0061676,28
25,92.13966845,36
25,263.7727693,60
11,71.14056915,16
18,193.0548423,44
14,212.2164593,47
11,71.14056915,16
5,90.95111055,14
25,211.973395,45
14,80.61813791,25
11,299.164091,48
5,219.988475,16
5,39.8352738,11
25,290.392447,57
1,141.1885526,7
5,69.13271704,9
5,300.6142015,23
5,84.79242467,8
5,68.69538415,14
5,306.0263939,13
5,110.3932643,16
22,142.3980091,30
22,142.3980091,30
16,55.91076146,20
14,238.398079,33
18,65.40374708,24
5,36.30783358,10
25,137.7398396,36.47
18,98.0816469,22
5,194.0566386,13
5,27.48981495,8
11,28.71704361,45
25,64.62297924,25
18,260.3224179,38
11,270.4576188,40
25,64.62297924,25
25,98.16465315,30
25,74.95655617,27
18,85.67212871,26
25,74.95655617,27
25,64.50514227,30
25,15.92491084,17
25,76.28245598,24
11,145.993671,46
25,184.4780115,40
25,14.37662082,16
25,95.84023556,27
5,167.6788439,30
25,84.37190771,30
14,101.8320796,26
18,101.8320796,28
25,245.1336763,51
11,190.4553258,27
11,87.47981876,32
11,13.22663973,15
1,250.2863461,10
14,107.2906816,24
25,163.2606987,40
11,124.727561,24
25,73.32049633,24
11,116.6290535,28
11,167.0835053,30
25,47.59374962,24
18,85.67212871,26
5,89.04249684,20
25,179.4050456,1.7
11,33.96297818,13
25,198.2585814,28
5,258.7772464,16
5,22.77957245,12
11,22.77957245,12
25,62.2693881,32
22,102.0082192,30
25,20.86111795,16
25,269.22,58
16,77.06935831,21
18,45.6727753,18
25,306.070414,61
11,54.44931482,18
5,265.2872811,31
5,36.98490511,11
5,101.6615877,13
5,15.44404705,12
1,19.17332404,4
1,91.10500408,9
1,108.4663005,9
11,69.6037147,15
1,56.44873154,6
5,10.80959822,10
5,66.27857232,11
18,35.19803418,25
18,53.87417069,21
11,220.7715864,38
18,216.3665069,38
25,77.284975,29
25,74.90695214,30
11,37.55589068,12
14,37.55589068,12
18,24.62449349,16
18,94.85011675,26
25,260.5142863,43
5,227.4935252,40
5,228.540356,40
14,227.4935252,40
5,121.4514021,36
14,121.4514021,36
5,116.5299074,36
5,43.00909917,14
5,43.00909917,14
5,44.96250573,14
5,43.00909917,12
5,75.02682543,13
5,73.97557165,13
25,155.2266517,36
5,254.0031634,40
5,87.16570505,18
11,87.16570505,18
18,173.192967,36
11,121.0860723,27
25,74.90695214,30
18,74.90695214,28
14,252.9462355,40
5,252.9462355,40
5,221.3830672,38
11,221.3830672,38
25,241.0629263,50
1,26.73943852,8
11,17.3307493,11
25,112.5121543,30
11,157.7340781,25
11,263.4082377,36
14,143.5210129,35
25,9.897647057,34
25,234.7027535,50
11,168.3650733,16
25,76.65975253,28
8,141.4002682,30
25,239.7606357,48
18,65.33727063,20
25,99.78529957,32
11,112.9238992,19
11,115.058612,16
25,72.17051939,19
11,226.4130798,30
11,236.7862669,28
25,11.31026649,14
25,139.1883595,46
18,193.0129709,72
11,323.7360892,40
25,192.454069,43
25,266.3084914,60
25,44.44261044,27
18,248.1796109,52
5,138.1227234,20
25,127.0598942,38
11,198.8933761,30
11,183.677382,30
5,31.14522179,7
25,39.652748,22
5,17.59960527,6
25,248.4081652,54
11,87.43029317,18
25,113.2830121,30
11,98.16548574,18
11,98.16548574,18
25,330.4422288,68
25,290.465407,45
11,339.8708898,45
5,31.51690464,7
25,81.79431805,25
5,148.3286262,23
25,10.2687017,16
25,68.2478255,23
11,86.88366489,22
5,230.3060353,26
1,63.57771409,6
1,100.4997907,5.5
1,64.97219048,6
1,21.15070014,3.9
11,32.45288909,13.5
1,36.51604213,4.9
1,39.89688701,4
5,72.49810105,9
1,51.23269029,5.8
5,72.49810105,9
18,66.36265755,33
11,39.96524948,15
18,52.46710585,24
14,178.876123,35
11,82.42508944,12
25,240.4371899,47
11,60.01680278,14
11,172.3487346,26
25,73.62617715,30
25,298.4562057,47
14,115.4227424,20
25,285.3076166,45
14,308.4558381,30
11,41.41042486,10
11,250.8402077,34
5,6.61659335,10
5,147.486234,24
11,206.2708993,36
11,206.9445859,26
14,153.2742287,35
11,121.852529,19
1,72.41229538,7
5,295.3806445,15
1,22.35959524,5.5
25,317.6757102,35
11,74.76602143,27
25,98.29898252,1
11,210.0914571,34
25,101.6946415,29
14,132.0283621,36
25,33.84597939,24
25,135.0161008,32
25,136.2661083,55
11,248.0388035,42
14,143.5210129,35
11,36.04444305,18
11,76.45905,21
25,257.4680757,57
25,54.54984706,24
11,70.18294462,18
25,139.8030632,45
5,130.5853631,19
11,280.9022334,33
25,55.19880379,24
25,55.19880379,24
25,55.19880379,24
25,57.71466369,30
25,167.1189044,35
25,70.23399546,21
11,213.0681928,48
11,264.9718911,42
25,180.9406946,40
25,176.3188498,32
25,176.3188498,32
5,37.5549956,7
5,174.157234,8
5,182.3121924,12
25,338.4148675,28
5,291.3398831,16
11,321.735759,34
11,240.712335,38
11,100.5300526,16
5,47.6965674,13
5,60.27143479,15
25,176.3188498,32
25,144.8519941,30
25,176.3188498,32
25,176.3188498,32
11,100.7990496,21
5,210.2724775,26
11,157.2298244,21
11,100.7990496,21
25,70.23399546,21
25,46.31783446,21
18,31.48208778,22
11,135.751295,22
5,172.858066,40
5,208.6235765,30
25,46.34543765,23
18,69.95451793,24
25,136.2661083,55
11,145.5805442,30
5,121.0860723,27
25,90.49508628,23
18,96.08436302,28
14,170.5353758,35
11,240.616326,28
11,83.24693621,19
25,89.110351,36
18,47.59355814,23
18,163.3941872,28
25,123.6288823,31
11,144.6508854,25
18,19.92683992,13
16,119.8013833,37
5,49.78270679,8
5,130.0280475,15
14,101.2567852,26
11,261.8228708,38
14,170.5353758,35
18,15.83912345,16
11,104.5839236,14
25,249.7712915,57
14,170.5353758,35
5,32.10114297,10
14,282.2426093,32
5,122.6190724,16
5,138.3242916,17
5,179.0722777,19
25,39.57631793,23
11,143.1546668,23.5
11,128.1037948,22.5
11,138.3242916,17
25,80.4518418,28
18,257.7185935,50
18,62.88092069,22
25,10.2687017,16
25,244.6575678,58
25,232.6109171,55
25,98.02114493,30
5,112.9690002,22
25,209.7846754,47
11,158.5080288,20
25,289.2496987,54
25,84.15238605,33
25,289.2496987,54
22,98.22165665,24
25,289.2496987,54
25,289.2496987,54
25,184.7903742,40
11,328.8452736,50
11,71.14056915,16
11,24.47391095,15
11,105.500534,17
18,247.3046888,46
11,123.5147342,24
25,120.6601853,30
11,265.4466849,40
11,96.90288161,18
11,226.1282658,25
14,115.5297927,23
11,107.5616254,21
18,62.88092069,22
25,71.88054146,25
25,62.17495368,22
25,80.86630677,25
25,206.4942918,40
25,67.21410502,25
11,116.1687492,16
25,159.388728,42
18,62.88092069,22
11,229.2147433,34
25,159.388728,42
25,201.0072773,48
18,15.83912345,16
5,89.54011935,16
25,39.652748,22
11,121.6288669,19
5,89.54011935,16
14,191.6955329,33
5,30.72136525,11
16,264.5275784,45
25,86.17778527,26
18,96.91923148,25
18,61.32300385,25
25,95.74176742,28
25,58.15329632,30
18,64.69054047,28
11,232.3963929,26
11,224.8749353,25
11,188.2150275,21
11,203.2351239,22
11,160.2489599,17
11,149.41812,18
11,106.8189881,22
11,74.21740216,14
14,42.54288135,20
25,223.7286849,50
22,61.09910068,22
25,218.3195548,43
14,27.53147546,12
11,132.3155777,25
25,198.2089914,42
25,265.2258553,52
22,190.7512293,37
14,60.22893165,27
5,38.08513776,13
11,117.383536,22.5
5,37.15243024,7
25,251.3698535,2.1
11,207.8248865,34
25,164.6759184,33
25,231.0665136,1.9
11,166.5163467,27
11,180.435527,30
18,47.19622033,18
25,56.16358519,24
25,273.8198693,60
11,314.8628296,35
11,84.18220993,25
5,51.18129271,12
11,206.7777097,24
5,185.0014574,20
25,229.7592997,45
18,145.8265613,34
25,74.33222323,24
25,53.66258061,26
18,67.88755412,22
11,197.9108172,35
18,197.9108172,35
25,273.8198693,62
5,57.73844564,13
5,82.60815196,21
5,219.988475,13
18,271.8867178,40
11,184.9174502,26
5,342.9985294,40
5,183.8831982,13
25,254.516287,51
16,10.80453082,12
25,306.9578126,40
11,158.9742559,21
11,141.0813283,30
25,153.7186434,40
25,60.65300731,22
25,95.55896244,31
22,52.83456687,22
25,36.7378306,21
25,222.3259218,55
16,396.580171,62
25,289.3689648,61
22,212.1586229,48
25,180.9406946,40
25,180.9406946,40
14,240.0662785,40
