SITE_NM,COMPANY,CNT,USER_CNT,CNT_P_USER,USER_RATIO
업비트,cozyma,31506,321,98.14953,0.20485
네이버,ebrams,153797,316,486.6994,1
YouTube Music,ebrams,24069,316,76.16772,1
다음,ebrams,75834,316,239.981,1
카카오,ebrams,58238,316,184.2975,1
YouTube,ebrams,187578,316,593.6013,1
Google,ebrams,91969,316,291.0411,1
Facebook,ebrams,83384,316,263.8734,1
카카오톡,ebrams,32232,315,102.3238,0.996835
네이버 통합검색,ebrams,27111,315,86.06667,0.996835
네이버 쇼핑,ebrams,21644,315,68.71111,0.996835
쿠팡,ebrams,154699,314,492.672,0.993671
Taboola,ebrams,30627,311,98.4791,0.984177
Coupang Partners,ebrams,16315,310,52.62903,0.981013
Criteo,ebrams,32811,309,106.1845,0.977848
TikTok,ebrams,38739,307,126.1857,0.971519
네이버 블로그,ebrams,15782,305,51.74426,0.96519
네이버 지도,ebrams,19140,303,63.16832,0.958861
쿠팡이츠,ebrams,31456,302,104.1589,0.955696
Samsung,ebrams,25201,301,83.72425,0.952532
토스,ebrams,70186,297,236.3165,0.939873
Instagram,ebrams,39101,293,133.4505,0.927215
애드파이,ebrams,95183,293,324.8567,0.927215
당근마켓,ebrams,20565,292,70.42808,0.924051
Buzzvil,ebrams,19898,286,69.57343,0.905063
ONE store,ebrams,14419,280,51.49643,0.886076
Unity,ebrams,63106,278,227,0.879747
Vungle,ebrams,15596,274,56.91971,0.867089
AppLovin,ebrams,18172,266,68.31579,0.841772
AliExpress,ebrams,22742,262,86.80153,0.829114
TikTok Lite,ebrams,64121,255,251.4549,0.806962
G마켓,ebrams,14878,254,58.5748,0.803797
네이버 톡톡,ebrams,11459,227,50.48018,0.718354
11번가,ebrams,16288,225,72.39111,0.712025
배달의민족,ebrams,26712,200,133.56,0.632911
캐시워크,ebrams,20276,196,103.449,0.620253
삼성 헬스,ebrams,9794,184,53.22826,0.582278
Avatye,ebrams,10858,177,61.34463,0.560127
Netflix,ebrams,13096,170,77.03529,0.537975
토스증권,ebrams,10866,159,68.33962,0.503165
