movieId,rating,title,genres,create_yr,director,actor1,wtch_cnt,sales_amt_3m,price
1007564603,0.0989842682898896,무사도 검술: 고젠 순연의 검,영화|액션|NaN,2020,이시다 히데노리, 이누카이 아츠히로,83,12500.0,2500
1007706506,0.09013099549841246,샤오린 2017: 소림 고수전,영화|액션|NaN,2017,도효, 서붕군,38,12600.0,1400
1007877158,0.10475334961786557,마리 퀴리(),영화|드라마|NaN,2020,마르잔 사트라피, 로자먼드 파이크,2,4000.0,4000
1008042078,0.09862328064302522,3개의 얼굴들,영화|드라마|NaN,2021,자파르 파나히, 베흐나즈 자파리,1,5000.0,2500
1008369972,0.08206937334760124,현장법사: 서유기의 시작,영화|드라마|NaN,2017,곽건기, 황효명,49,5600.0,1400
1008479877,0.2362643003307141,무서운 꿈,영화|공포|NaN,2017,조나단 홉킨스, 매기 큐,1536,0.0,10000
1008666686,0.08042449083820669,트랜스 시베리아,영화|스릴러|NaN,2012,브래드 앤더슨, 우디 해럴슨,105,14000.0,900
1008743487,0.09799210345307284,쾌락보고서 in 프랑스,영화|성인|해외,2019,파스칼 루카스, 클레어 크리스탈,20,0.0,2500
1008897300,0.11226509100403799,섹스 테라피,영화|로맨스|NaN,2021,행크 호프먼, 제이 스무스,1043,2760000.0,2500
100897855,0.08201569291154154,연을 쫓는 아이(The Kite Runner),영화|드라마|NaN,2018,마크 포스터, 제케리아 에브라하미,75,90000.0,2500
1009451358,0.08075283930772056,새터데이 처치,영화|드라마|NaN,2018,데이먼 카다시스, 루카 케인,5,1400.0,1400
1009696635,0.16812699042916593,레고 닌자고 무비,영화|극장판 애니|NaN,2017,찰리 빈, 데이브 프랭코,73,0.0,6500
1009784567,0.10348086980099196,"관전, 섹스 과외 판",영화|성인|한국,2020,최정자,"한가인, 이채담, 안민우, 강서",47,7500.0,2500
1009825514,0.08531424157548959,내 남자는 바람둥이(Suburban Girl),영화|로맨스|NaN,2014,마크 클라인, 사라 미셀 겔러,81,39200.0,1400
1009990114,0.14305683458843965,슈퍼노바,영화|드라마|NaN,2021,해리 맥퀸, 콜린 퍼스,274,1353000.0,5000
1010339041,0.0563726322506637,특수부대: 스카이 헌터,영화|액션|NaN,2018,리천, 리천,33,9800.0,1400
1010713118,0.04805952272674463,예쁜 여동생2,영화|성인|캐치온,2021,최진철, 찬미,1091,0.0,0
1010765233,0.0955018053483093,하이큐!! 재능과 센스,영화|극장판 애니|NaN,2017,미츠나카 스스무, 무라세 아유무,5008,0.0,2500
101094686,0.06342387607242488,삼포가는 길,영화|드라마|NaN,2019,이만희, 김진규,349,0.0,0
1011049237,0.10624010036934772,오감도,영화|로맨스|NaN,2020,"허진호, 유영식, 오기환, 변혁, 민규동", 김규리,86,140000.0,2500
1011079725,0.09522169227533442,인피니틀리 폴라 베어(Infinitely Polar Bear),영화|드라마|NaN,2016,마야 포브스, 마크 러팔로,45,11200.0,1400
