site_nm,company,cnt,user_cnt,cnt_p_user,user_ratio
Apple Weather,cuckoo,1191397,75371,15.81,0.2
Telegram Messenger,cuckoo,2198137,74917,29.34,0.2
Syrup,cuckoo,7930126,73604,107.74,0.2
스노우,cuckoo,2567600,73166,35.09,0.2
서플,cuckoo,5412225,72259,74.9,0.19
SBS 뉴스,cuckoo,1160210,71797,16.16,0.19
geniet,cuckoo,1788950,71047,25.18,0.19
NH콕뱅크,cuckoo,1189862,69912,17.02,0.19
stripchat,cuckoo,1564817,69681,22.46,0.19
OK캐쉬백,cuckoo,8351461,68833,121.33,0.18
넷마블,cuckoo,1732043,68534,25.27,0.18
오토타임즈,cuckoo,1067518,65613,16.27,0.18
키움증권,cuckoo,1623784,65108,24.94,0.17
IBK앱통장,cuckoo,1674660,64735,25.87,0.17
우리카드,cuckoo,2519648,64724,38.93,0.17
카카오 스토리,cuckoo,1111046,64632,17.19,0.17
하이마트,cuckoo,1391394,64584,21.54,0.17
카카오페이지,cuckoo,2394276,64324,37.22,0.17
퀸잇,cuckoo,1083881,64022,16.93,0.17
신한투자증권,cuckoo,2633855,63692,41.35,0.17
Twitch,cuckoo,1001166,62972,15.9,0.17
Samsung Galaxy,cuckoo,1019079,62684,16.26,0.17
baidu,cuckoo,1558516,62112,25.09,0.17
HOME & SHOPPING,cuckoo,1672414,61692,27.11,0.16
i-ONE Bank,cuckoo,1277306,61374,20.81,0.16
캐시닥,cuckoo,2554870,61307,41.67,0.16
IBK기업은행,cuckoo,2205679,61060,36.12,0.16
퍼포멘토,cuckoo,2509721,59732,42.02,0.16
미래에셋투자와연금센터,cuckoo,987386,59201,16.68,0.16
UBCI 인덱스,cuckoo,1924154,59056,32.58,0.16
인벤,cuckoo,1013896,58620,17.3,0.16
나우 메시지,cuckoo,1757613,58084,30.26,0.16
언니의파우치,cuckoo,938815,57915,16.21,0.15
코나카드,cuckoo,1558826,57654,27.04,0.15
이마트,cuckoo,2836979,56079,50.59,0.15
숨고,cuckoo,1039952,55351,18.79,0.15
다음 메일,cuckoo,951188,54132,17.57,0.14
하나멤버스,cuckoo,2963058,54094,54.78,0.14
직방,cuckoo,1265256,54078,23.4,0.14
하루스토리,cuckoo,1245395,53640,23.22,0.14
넥슨,cuckoo,8550257,53237,160.61,0.14
KB증권,cuckoo,2340218,51151,45.75,0.14
해피포인트,cuckoo,1043363,50297,20.74,0.13
우리동네GS,cuckoo,3177464,49901,63.68,0.13
SmartSwitch,cuckoo,790309,49678,15.91,0.13
NS홈쇼핑,cuckoo,871640,49150,17.73,0.13
지니 뮤직,cuckoo,7789309,48265,161.39,0.13
MediaTek,cuckoo,3072582,48089,63.89,0.13
Samsung SmartThings,cuckoo,1308276,48033,27.24,0.13
알바몬,cuckoo,1070959,47938,22.34,0.13
기상청 날씨누리,cuckoo,1648989,47570,34.66,0.13
기아자동차,cuckoo,1388704,46238,30.03,0.12
알바천국,cuckoo,924875,45684,20.25,0.12
KBS,cuckoo,732776,45650,16.05,0.12
LF몰,cuckoo,740962,45438,16.31,0.12
Microsoft Graph,cuckoo,730449,44497,16.42,0.12
xHamster,cuckoo,1659620,43625,38.04,0.12
후후,cuckoo,3886938,43470,89.42,0.12
ThreatCast,cuckoo,1164620,42347,27.5,0.11
루리웹,cuckoo,812693,42177,19.27,0.11
점신,cuckoo,998594,41176,24.25,0.11
내트리를꾸며줘!,cuckoo,924719,40844,22.64,0.11
tnkad,cuckoo,996675,40360,24.69,0.11
LG ThinQ,cuckoo,2828839,39679,71.29,0.11
삼성증권,cuckoo,1810560,39458,45.89,0.11
웨이브,cuckoo,2331567,39339,59.27,0.11
메가MGC커피,cuckoo,804653,39050,20.61,0.1
숲,cuckoo,7828314,39041,200.52,0.1
Brawl Stars,cuckoo,645716,38628,16.72,0.1
SHEIN Fashion,cuckoo,630358,38210,16.5,0.1
SK엔카,cuckoo,1613111,38208,42.22,0.1
키움증권 영웅문S,cuckoo,3634544,37812,96.12,0.1
Polaris Office,cuckoo,604932,37638,16.07,0.1
AccuWeather,cuckoo,1108325,37567,29.5,0.1
호갱노노,cuckoo,809104,37519,21.57,0.1
디스코드,cuckoo,1529049,36636,41.74,0.1
Microsoft Teams,cuckoo,2884583,35919,80.31,0.1
Google 캘린더,cuckoo,1089221,35854,30.38,0.1
Google,haier,604248,898,672.88,0.98
Google 애널리틱스,haier,61410,898,68.39,0.98
Firebase Crashlytics,haier,72038,898,80.22,0.98
Facebook,haier,692261,898,770.89,0.98
네이버 애널리틱스,haier,96399,898,107.35,0.98
YouTube,haier,1588682,898,1769.13,0.98
카카오,haier,463237,898,515.85,0.98
네이버,haier,1356362,898,1510.43,0.98
다음,haier,531656,898,592.04,0.98
카카오 내비,haier,102372,898,114.0,0.98
카카오톡,haier,264945,897,295.37,0.98
카카오톡 오픈채팅,haier,83423,897,93.0,0.98
YouTube Music,haier,187225,897,208.72,0.98
네이버 Corporation,haier,71576,896,79.88,0.98
네이버 쇼핑,haier,167335,896,186.76,0.98
Google Play,haier,43420,896,48.46,0.98
Papago,haier,85645,895,95.69,0.98
쿠팡,haier,989130,895,1105.17,0.98
Coupang Partners,haier,71491,895,79.88,0.98
네이버 지도,haier,172943,894,193.45,0.98
Bing,haier,51430,893,57.59,0.98
jQuery,haier,26181,892,29.35,0.98
Google Messages,haier,30531,892,34.23,0.98
네이버 통합검색,haier,229471,891,257.54,0.98
네이버 블로그,haier,161583,889,181.76,0.97
Google 어카운트,haier,61219,889,68.86,0.97
TikTok,haier,215185,889,242.05,0.97
Taboola,haier,109642,888,123.47,0.97
쿠팡이츠,haier,125382,887,141.36,0.97
Braze,haier,96695,885,109.26,0.97
NHN TOAST,haier,43591,883,49.37,0.97
clarity,haier,65737,883,74.45,0.97
Moloco,haier,51869,882,58.81,0.97
Criteo,haier,103599,882,117.46,0.97
Media.net,haier,32495,881,36.88,0.96
Teads,haier,38376,881,43.56,0.96
토스,haier,361912,880,411.26,0.96
Sentry,haier,59673,880,67.81,0.96
Airbridge,haier,60776,880,69.06,0.96
네이버 페이,haier,41569,879,47.29,0.96
당근마켓,haier,262500,877,299.32,0.96
1rx,haier,22246,873,25.48,0.96
네이버 플레이스,haier,46953,873,53.78,0.96
megadata,haier,17686,873,20.26,0.96
UNPKG,haier,14250,872,16.34,0.96
에이스트레이더,haier,32125,871,36.88,0.95
네이버 내정보,haier,43463,871,49.9,0.95
DFINERY,haier,49150,870,56.49,0.95
Temu,haier,79223,869,91.17,0.95
트위터,haier,37957,868,43.73,0.95
벅스,haier,18005,866,20.79,0.95
네이버 사전,haier,22577,865,26.1,0.95
ntp,haier,69630,864,80.59,0.95
Amazon Web Services,haier,64598,863,74.85,0.95
Instagram,haier,315343,862,365.83,0.94
InMobi,haier,42423,861,49.27,0.94
Pi Network,haier,25102,859,29.22,0.94
LG U+,haier,56600,858,65.97,0.94
MezzoMedia,haier,14697,856,17.17,0.94
네이버 스마트스토어,haier,43998,854,51.52,0.94
채널톡,haier,35017,854,41.0,0.94
카카오페이,haier,107960,847,127.46,0.93
애드파이,haier,189229,846,223.67,0.93
adbrix,haier,19308,843,22.9,0.92
카페24,haier,23887,842,28.37,0.92
카카오맵,haier,38806,834,46.53,0.91
openx,haier,21863,831,26.31,0.91
네이버 카페,haier,90410,831,108.8,0.91
Unity,haier,175628,820,214.18,0.9
Insider,haier,17403,819,21.25,0.9
Branch,haier,20965,818,25.63,0.9
Melon,haier,72130,816,88.39,0.89
Vungle,haier,58534,813,72.0,0.89
Hotjar,haier,20870,803,25.99,0.88
네이버 톡톡,haier,67252,795,84.59,0.87
네이버 뉴스,haier,47621,795,59.9,0.87
Buzzvil,haier,48442,793,61.09,0.87
국세청 홈택스,haier,19589,791,24.76,0.87
Samsung,haier,145749,790,184.49,0.87
카카오TV,haier,12896,786,16.41,0.86
G마켓,haier,34436,786,43.81,0.86
AhnLab,haier,64214,783,82.01,0.86
애피어,haier,18591,779,23.87,0.85
AppLovin,haier,53816,777,69.26,0.85
TikTok Lite,haier,360232,774,465.42,0.85
Google 번역,haier,12961,759,17.08,0.83
ONE store,haier,77447,755,102.58,0.83
AppsFlyer,haier,11829,752,15.73,0.82
App Center,haier,52553,751,69.98,0.82
Rubicon Project,haier,15827,751,21.07,0.82
나무위키,haier,11555,749,15.43,0.82
Microsoft,haier,59202,749,79.04,0.82
네이버 메일,haier,15620,744,20.99,0.81
에디,haier,13171,742,17.75,0.81
hackle,haier,21194,736,28.8,0.81
크리마,haier,23656,731,32.36,0.8
Gmail,haier,56875,731,77.8,0.8
LIAPP,haier,25791,727,35.48,0.8
아임웹,haier,16831,713,23.61,0.78
Yahoo,haier,13245,711,18.63,0.78
AliExpress,haier,86936,707,122.96,0.77
11번가,haier,33032,705,46.85,0.77
배달의민족,haier,259946,697,372.95,0.76
OneDrive,haier,36384,686,53.04,0.75
Galaxy Wearable,haier,51263,676,75.83,0.74
디시인사이드,haier,28944,668,43.33,0.73
