site_nm,company,cnt,user_cnt,cnt_p_user,user_ratio
웨이브,haier,10927,142,76.95,0.16
키움증권,haier,4593,139,33.04,0.15
보배드림,haier,2606,139,18.75,0.15
OK캐쉬백,haier,5647,136,41.52,0.15
메가MGC커피,haier,3131,135,23.19,0.15
호갱노노,haier,3816,132,28.91,0.14
퀸잇,haier,2009,131,15.34,0.14
코나카드,haier,3510,129,27.21,0.14
Polaris Office,haier,2488,128,19.44,0.14
Slack,haier,3190,127,25.12,0.14
뉴토끼,haier,6244,127,49.17,0.14
후후,haier,12801,127,100.8,0.14
SHEIN Fashion,haier,2292,125,18.34,0.14
내트리를꾸며줘!,haier,4587,124,36.99,0.14
Wechat,haier,50603,123,411.41,0.13
xboxlive,haier,1931,120,16.09,0.13
미래에셋투자와연금센터,haier,2026,118,17.17,0.13
탑툰,haier,1880,118,15.93,0.13
Google 캘린더,haier,3925,116,33.84,0.13
쏘카,haier,2265,116,19.53,0.13
키움증권 영웅문S,haier,15550,115,135.22,0.13
umeng,haier,3630,113,32.12,0.12
Zoom,haier,4226,113,37.4,0.12
TradingView,haier,2803,112,25.03,0.12
blahfaw,haier,3504,108,32.44,0.12
네이버 캘린더,haier,4271,105,40.68,0.12
블라인드 TOPIC,haier,2219,105,21.13,0.12
와디즈,haier,3448,105,32.84,0.12
AV19,haier,2476,104,23.81,0.11
현대 카페이,haier,2485,103,24.13,0.11
데일리샷,haier,1553,99,15.69,0.11
북토끼,haier,2128,99,21.49,0.11
마나토끼,haier,2070,98,21.12,0.11
KB증권,haier,6913,98,70.54,0.11
기아 커넥트,haier,2289,95,24.09,0.1
캐롯손해보험,haier,1684,94,17.91,0.1
W Concept,haier,2159,93,23.22,0.1
캐시노트,haier,6414,92,69.72,0.1
SKT T전화,haier,5223,92,56.77,0.1
plaync,haier,5843,91,64.21,0.1
Mi Korea,haier,3050,90,33.89,0.1
카카오버스,haier,1645,87,18.91,0.1
점신,haier,1399,87,16.08,0.1
Google,himart,109862987,153220,717.03,0.97
하이마트,himart,2890202,153220,18.86,0.97
YouTube,himart,261532166,153217,1706.94,0.97
네이버,himart,225357698,153214,1470.87,0.97
카카오,himart,80259192,153203,523.87,0.97
YouTube Music,himart,32334276,153197,211.06,0.97
다음,himart,96889061,153160,632.6,0.97
Firebase Crashlytics,himart,12107308,153122,79.07,0.97
Facebook,himart,101951898,153122,665.82,0.97
카카오 내비,himart,16475554,153088,107.62,0.97
Google Play,himart,7981682,153005,52.17,0.97
Google 애널리틱스,himart,10578753,152975,69.15,0.97
네이버 애널리틱스,himart,14738787,152926,96.38,0.97
카카오톡,himart,44333484,152789,290.16,0.97
쿠팡,himart,165277708,152768,1081.89,0.97
카카오톡 오픈채팅,himart,13809063,152676,90.45,0.97
Google 어카운트,himart,11699609,152498,76.72,0.97
Bing,himart,9804976,152442,64.32,0.97
네이버 쇼핑,himart,29030810,152325,190.58,0.97
Coupang Partners,himart,14911699,152190,97.98,0.96
네이버 통합검색,himart,36324448,152137,238.76,0.96
jQuery,himart,5193158,151991,34.17,0.96
네이버 Corporation,himart,12331240,151971,81.14,0.96
Taboola,himart,22362696,151924,147.2,0.96
네이버 지도,himart,27445649,151867,180.72,0.96
TikTok,himart,34342571,151756,226.3,0.96
Papago,himart,13174555,151735,86.83,0.96
NHN TOAST,himart,9668020,151689,63.74,0.96
Google Messages,himart,6015202,151579,39.68,0.96
Criteo,himart,24414964,151436,161.22,0.96
네이버 블로그,himart,25640253,151125,169.66,0.96
Teads,himart,9004963,150857,59.69,0.96
쿠팡이츠,himart,25105041,150816,166.46,0.96
Media.net,himart,6562947,150700,43.55,0.96
벅스,himart,3939474,150486,26.18,0.95
Braze,himart,16388790,150465,108.92,0.95
megadata,himart,3669924,150458,24.39,0.95
Moloco,himart,11252136,150449,74.79,0.95
Airbridge,himart,12713003,150279,84.6,0.95
당근마켓,himart,35107302,150034,234.0,0.95
clarity,himart,12166167,149807,81.21,0.95
토스,himart,76602417,149609,512.02,0.95
DFINERY,himart,10292446,149607,68.8,0.95
1rx,himart,4333252,149605,28.96,0.95
에이스트레이더,himart,8726560,149599,58.33,0.95
UNPKG,himart,2850005,149079,19.12,0.95
트위터,himart,8479412,149061,56.89,0.94
네이버 페이,himart,7933386,149040,53.23,0.94
Temu,himart,13814206,148838,92.81,0.94
Amazon Web Services,himart,12343939,148669,83.03,0.94
Pi Network,himart,5253381,148562,35.36,0.94
InMobi,himart,10486955,148533,70.6,0.94
Sentry,himart,12575589,148412,84.73,0.94
MezzoMedia,himart,4477107,148402,30.17,0.94
애드파이,himart,47781200,147458,324.03,0.93
LG U+,himart,10755413,147409,72.96,0.93
네이버 플레이스,himart,7021321,147032,47.75,0.93
Instagram,himart,45870269,146344,313.44,0.93
네이버 스마트스토어,himart,7947037,146278,54.33,0.93
네이버 내정보,himart,7016068,146191,47.99,0.93
네이버 사전,himart,3798485,145930,26.03,0.93
카카오페이,himart,17482518,145783,119.92,0.92
adbrix,himart,5831122,145496,40.08,0.92
카페24,himart,4255447,144447,29.46,0.92
ntp,himart,11789084,144194,81.76,0.91
채널톡,himart,6273711,144115,43.53,0.91
트위터 애널리틱스,himart,2255091,143159,15.75,0.91
openx,himart,5115424,142704,35.85,0.9
Insider,himart,3811129,141576,26.92,0.9
Samsung,himart,29090633,141164,206.08,0.89
Unity,himart,44851547,140663,318.86,0.89
Buzzvil,himart,13250052,139982,94.66,0.89
G마켓,himart,15687640,139300,112.62,0.88
Branch,himart,3778840,139151,27.16,0.88
Hotjar,himart,3949944,139064,28.4,0.88
Vungle,himart,13064533,139033,93.97,0.88
네이버 카페,himart,16783807,138228,121.42,0.88
카카오맵,himart,5935129,137897,43.04,0.87
AhnLab,himart,13024471,137391,94.8,0.87
App Center,himart,9594185,136022,70.53,0.86
카카오TV,himart,3100573,135888,22.82,0.86
Melon,himart,10317503,135761,76.0,0.86
애피어,himart,4597266,134987,34.06,0.86
국세청 홈택스,himart,3214804,134911,23.83,0.86
네이버 톡톡,himart,14120787,134864,104.7,0.85
Microsoft,himart,11372402,134345,84.65,0.85
AppLovin,himart,13152777,133614,98.44,0.85
Mobon,himart,2346267,133495,17.58,0.85
Rubicon Project,himart,4198505,133427,31.47,0.85
Medallia,himart,2303106,132806,17.34,0.84
네이버 뉴스,himart,8469252,132365,63.98,0.84
Gmail,himart,10434928,131244,79.51,0.83
TikTok Lite,himart,57755226,130980,440.95,0.83
Google 번역,himart,2385482,130875,18.23,0.83
ONE store,himart,13063929,129759,100.68,0.82
디지털캠프,himart,2542624,129714,19.6,0.82
위메프,himart,2597911,129614,20.04,0.82
AppsFlyer,himart,2304068,129424,17.8,0.82
크리마,himart,4700294,128727,36.51,0.82
Yahoo,himart,3145596,128662,24.45,0.82
hackle,himart,4029982,128430,31.38,0.81
Galaxy Wearable,himart,9470667,126961,74.6,0.8
11번가,himart,12525860,126746,98.83,0.8
에디,himart,2806050,126014,22.27,0.8
OneDrive,himart,6457388,125033,51.65,0.79
네이버 메일,himart,2709307,124517,21.76,0.79
AliExpress,himart,16941704,123969,136.66,0.79
아임웹,himart,3137742,123953,25.31,0.79
나무위키,himart,2310073,123637,18.68,0.78
디시인사이드,himart,7264054,122968,59.07,0.78
웨더뉴스,himart,10262541,122639,83.68,0.78
소스플렉스,himart,2426929,120608,20.12,0.76
엘포인트,himart,2015543,120174,16.77,0.76
SmartThings,himart,8146374,119140,68.38,0.76
Cauly Center,himart,1967460,116351,16.91,0.74
Samsung Cloud,himart,6871165,116159,59.15,0.74
배달의민족,himart,33358530,114578,291.14,0.73
LIAPP,himart,3797065,112867,33.64,0.72
라온시큐어,himart,2250874,111248,20.23,0.71
토스페이먼츠,himart,1744080,110883,15.73,0.7
taobao,himart,4530171,110099,41.15,0.7
Netflix,himart,19324738,109950,175.76,0.7
SSG.COM,himart,6330332,108500,58.34,0.69
스카이프,himart,4164003,108486,38.38,0.69
삼성페이,himart,12337894,107489,114.78,0.68
Alibaba,himart,4672676,107479,43.48,0.68
adPOPcorn,himart,3403735,105747,32.19,0.67
DuckDuckGo,himart,3302091,105737,31.23,0.67
옥션,himart,6472763,104703,61.82,0.66
채티,himart,2151502,104255,20.64,0.66
밴드,himart,11611378,103894,111.76,0.66
샵라이브,himart,3456760,103600,33.37,0.66
TNK FACTORY,himart,1573179,103588,15.19,0.66
KB Pay,himart,3595889,102775,34.99,0.65
다음 카페,himart,1726179,100654,17.15,0.64
Mobvista,himart,1580129,100064,15.79,0.63
KB스타뱅킹,himart,8201477,99867,82.12,0.63
LGU+ TSM,himart,1927487,99309,19.41,0.63
T map,himart,10578448,99244,106.59,0.63
네이버 스포츠,himart,5699530,98840,57.66,0.63
OneSignal,himart,2787590,98786,28.22,0.63
McAfee,himart,10652110,98618,108.01,0.63
카카오 뱅크,himart,9729096,97015,100.28,0.62
브이리뷰,himart,2442959,95537,25.57,0.61
토스증권,himart,11219656,95305,117.72,0.6
Avatye,himart,6312098,93843,67.26,0.59
신한페이판,himart,5207800,93703,55.58,0.59
Adrop,himart,1588751,92667,17.14,0.59
번개장터,himart,2830512,92424,30.63,0.59
캐시워크,himart,12686423,89845,141.2,0.57
요기요,himart,3888214,89627,43.38,0.57
롯데ON,himart,3491638,89162,39.16,0.57
다음 뉴스,himart,1818698,88730,20.5,0.56
윈도우라이브,himart,2306142,86572,26.64,0.55
올리브영,himart,4971819,84116,59.11,0.53
GIPHY,himart,2850310,83980,33.94,0.53
토스뱅크,himart,4632024,83921,55.2,0.53
네이버 TV연예,himart,1841314,83917,21.94,0.53
KB국민카드,himart,4865429,83033,58.6,0.53
삼성카드,himart,10615499,82316,128.96,0.52
알약,himart,1898905,82244,23.09,0.52
CJ ONSTYLE,himart,2701704,82214,32.86,0.52
신한카드,himart,4684704,81671,57.36,0.52
RevenueCat,himart,1353734,81579,16.59,0.52
삼성 헬스,himart,11938943,81539,146.42,0.52
Apple,himart,46168508,81148,568.94,0.51
네이버+ 스토어,himart,1695916,80659,21.03,0.51
디시트렌드,himart,3004693,79945,37.58,0.51
모비위드,himart,4133960,79748,51.84,0.51
ChatGPT,himart,1586966,79738,19.9,0.51
오늘의집,himart,4277416,79546,53.77,0.5
무신사,himart,7445806,78831,94.45,0.5
Microsoft Office,himart,4509263,78204,57.66,0.5
OpenAI,himart,1627578,77775,20.93,0.49
GS SHOP,himart,2418036,77152,31.34,0.49
ISP/페이북,himart,4770237,76944,62.0,0.49
더쿠,himart,1178737,75483,15.62,0.48
신한은행,himart,9236102,75395,122.5,0.48
Alipayplus,himart,1134422,74439,15.24,0.47
Forter,himart,1647686,74223,22.2,0.47
삼쩜삼,himart,2008753,73839,27.2,0.47
ExelBid,himart,4694671,73170,64.16,0.46
연합뉴스,himart,3708589,70397,52.68,0.45
네이트,himart,1052317,69166,15.21,0.44
MSN,himart,2224610,68724,32.37,0.44
SendBird,himart,1821894,68706,26.52,0.44
현대카드,himart,4909359,68696,71.46,0.44
롯데홈쇼핑,himart,1606873,68593,23.43,0.43
하나카드,himart,4678444,68560,68.24,0.43
야놀자,himart,1721785,68287,25.21,0.43
신한 쏠,himart,1824336,68122,26.78,0.43
네이트 뉴스,himart,2174553,67605,32.17,0.43
삼성화재,himart,1439230,67523,21.31,0.43
alipay,himart,2198301,66785,32.92,0.42
티머니,himart,3486268,66412,52.49,0.42
에펨코리아,himart,4099454,66201,61.92,0.42
Qualcomm,himart,3605329,66029,54.6,0.42
현대Hmall,himart,1318416,65886,20.01,0.42
MS Copilot,himart,1440713,65815,21.89,0.42
쿠팡플레이,himart,1147246,65599,17.49,0.42
카카오페이증권,himart,5669929,64897,87.37,0.41
NH카드,himart,1918440,64046,29.95,0.41
인터파크,himart,1249800,63333,19.73,0.4
QQ,himart,3870733,63009,61.43,0.4
NH농협,himart,2260699,62719,36.04,0.4
YES24,himart,933319,61804,15.1,0.39
cashbee,himart,1095264,61531,17.8,0.39
다나와,himart,1358378,61089,22.24,0.39
iMBC,himart,1135610,60223,18.86,0.38
Starbucks Coffee Korea,himart,3720101,59536,62.48,0.38
Adobe,himart,1487139,59314,25.07,0.38
우리은행,himart,6011296,59077,101.75,0.37
뉴스픽,himart,1548972,58994,26.26,0.37
티머니GO,himart,1181707,58835,20.09,0.37
SBS,himart,1176896,58615,20.08,0.37
네이버 웹툰,himart,3617660,58557,61.78,0.37
마켓컬리,himart,2874728,57919,49.63,0.37
케이뱅크,himart,4042478,57868,69.86,0.37
올원뱅크,himart,1984913,57679,34.41,0.37
노티플라이,himart,1061082,56811,18.68,0.36
AMP,himart,910272,56741,16.04,0.36
KBS kong,himart,1262665,56474,22.36,0.36
Digital Turbine,himart,2620532,55649,47.09,0.35
29cm,himart,2663196,55156,48.28,0.35
U+Page,himart,1121990,54664,20.53,0.35
롯데카드,himart,4392012,54613,80.42,0.35
코비그룹,himart,1048345,54427,19.26,0.35
KEB하나은행,himart,1522473,54357,28.01,0.34
홈플러스,himart,1538546,54194,28.39,0.34
Nike,himart,1673708,53750,31.14,0.34
AD(X),himart,4496622,53666,83.79,0.34
iTunes-Apple,himart,28433561,53240,534.06,0.34
모니모,himart,1924455,53094,36.25,0.34
BC카드,himart,1778028,52360,33.96,0.33
삼성생명,himart,874794,51804,16.89,0.33
디즈니플러스,himart,849716,51690,16.44,0.33
현대자동차,himart,1200494,51375,23.37,0.33
하나은행,himart,1616915,51357,31.48,0.33
Syrup,himart,5996258,51316,116.85,0.33
TVING,himart,4368371,50928,85.78,0.32
삼성증권 POP,himart,1303438,50612,25.75,0.32
NESTADS,himart,834068,50237,16.6,0.32
아고다,himart,1705515,50188,33.98,0.32
Spotify,himart,2232628,48691,45.85,0.31
사람인,himart,1171808,48364,24.23,0.31
iCloud,himart,14119168,47934,294.55,0.3
잡코리아,himart,957433,47751,20.05,0.3
신한 슈퍼쏠,himart,763621,47136,16.2,0.3
업비트,himart,9040616,46485,194.48,0.29
뽐뿌,himart,1797052,45972,39.09,0.29
인벤,himart,1335355,44940,29.71,0.28
ZigZag,himart,1981758,44576,44.46,0.28
넷마블,himart,1171756,44279,26.46,0.28
Telegram Messenger,himart,1354847,43947,30.83,0.28
빗썸,himart,3217133,43424,74.09,0.28
Samsung Galaxy,himart,840413,43346,19.39,0.27
이마트,himart,2080364,42765,48.65,0.27
stripchat,himart,955763,42387,22.55,0.27
루리웹,himart,1875371,42205,44.43,0.27
Tapioy,himart,720833,42097,17.12,0.27
SBS 뉴스,himart,716344,41751,17.16,0.26
BounceAndCollect,himart,831172,41657,19.95,0.26
OK캐쉬백,himart,5760671,41625,138.39,0.26
Twitch,himart,752189,40635,18.51,0.26
에이블리,himart,920111,40597,22.66,0.26
키움증권,himart,1193816,40251,29.66,0.26
Amazon,himart,616425,40200,15.33,0.25
신한투자증권,himart,1818579,39343,46.22,0.25
Microsoft Graph,himart,773722,39205,19.74,0.25
카카오페이지,himart,1532177,39066,39.22,0.25
멜론 아지톡,himart,1712983,37862,45.24,0.24
HOME & SHOPPING,himart,935973,37239,25.13,0.24
baidu,himart,594804,37128,16.02,0.24
UBCI 인덱스,himart,1212217,36909,32.84,0.23
우리카드,himart,1523431,36702,41.51,0.23
하나멤버스,himart,2403037,36234,66.32,0.23
스카이스캐너,himart,569643,35644,15.98,0.23
다음 메일,himart,652413,35415,18.42,0.22
하나투어,himart,563526,35266,15.98,0.22
우리동네GS,himart,2386593,35245,67.71,0.22
넥슨,himart,6268703,34808,180.09,0.22
LF몰,himart,690386,34650,19.92,0.22
Samsung SmartThings,himart,1096463,34264,32.0,0.22
해피포인트,himart,725389,33792,21.47,0.21
미래에셋투자와연금센터,himart,742329,33618,22.08,0.21
Apple Weather,himart,519722,33477,15.52,0.21
i-ONE Bank,himart,633008,33360,18.98,0.21
IBK앱통장,himart,833661,33323,25.02,0.21
기아자동차,himart,1014379,32847,30.88,0.21
스노우,himart,1052954,32716,32.18,0.21
SmartSwitch,himart,594717,32049,18.56,0.2
IBK기업은행,himart,1153234,31968,36.07,0.2
Windows 업데이트,himart,492505,31391,15.69,0.2
숨고,himart,672584,31317,21.48,0.2
코나카드,himart,819544,30878,26.54,0.2
오토타임즈,himart,459976,30594,15.03,0.19
직방,himart,648562,30308,21.4,0.19
하루스토리,himart,847858,29999,28.26,0.19
지니 뮤직,himart,3725085,28628,130.12,0.18
NS홈쇼핑,himart,501165,28564,17.55,0.18
Microsoft Teams,himart,2863265,28442,100.67,0.18
ThreatCast,himart,762163,27990,27.23,0.18
기상청 날씨누리,himart,1001324,27951,35.82,0.18
KB증권,himart,1516885,27786,54.59,0.18
LG ThinQ,himart,2080788,27639,75.28,0.18
숲,himart,5223883,26952,193.82,0.17
호갱노노,himart,635743,26941,23.6,0.17
디스코드,himart,1268739,26894,47.18,0.17
중고나라,himart,1194569,26892,44.42,0.17
SK엔카,himart,1077381,26418,40.78,0.17
키워드랩 리워드,himart,490663,26164,18.75,0.17
삼성증권,himart,1276148,26058,48.97,0.17
xHamster,himart,781655,25866,30.22,0.16
에이닷,himart,908230,25578,35.51,0.16
나우 메시지,himart,799731,25231,31.7,0.16
쏘카,himart,436284,25214,17.3,0.16
후후,himart,2401934,25009,96.04,0.16
보배드림,himart,447900,24618,18.19,0.16
Mi Korea,himart,814469,24120,33.77,0.15
키움증권 영웅문S,himart,2542522,24104,105.48,0.15
점신,himart,676399,23731,28.5,0.15
웨이브,himart,1168884,23731,49.26,0.15
메가MGC커피,himart,502606,23716,21.19,0.15
알바몬,himart,449459,23716,18.95,0.15
AccuWeather,himart,552797,23406,23.62,0.15
뉴토끼,himart,1199923,23305,51.49,0.15
웃긴대학,himart,612798,22915,26.74,0.15
plaync,himart,793942,22295,35.61,0.14
다음 이슈포커스,himart,396397,21496,18.44,0.14
Slack,himart,578336,21347,27.09,0.14
Polaris Office,himart,350282,21012,16.67,0.13
IKEA,himart,341734,20998,16.27,0.13
Zoom,himart,654435,20865,31.37,0.13
blahfaw,himart,679206,20261,33.52,0.13
Brawl Stars,himart,395718,20229,19.56,0.13
Google 캘린더,himart,577106,20209,28.56,0.13
XVIDEOS,himart,311436,20208,15.41,0.13
알바천국,himart,363044,20049,18.11,0.13
TradingView,himart,791480,20045,39.49,0.13
와디즈,himart,525604,19982,26.3,0.13
네이버 캘린더,himart,934631,19963,46.82,0.13
tnkad,himart,671491,19906,33.73,0.13
블라인드 TOPIC,himart,415000,19663,21.11,0.12
W Concept,himart,572877,19617,29.2,0.12
SLR클럽,himart,323784,19515,16.59,0.12
서플,himart,1437680,19472,73.83,0.12
포켓CU,himart,357479,19461,18.37,0.12
GMO SmaAD,himart,301338,19168,15.72,0.12
geniet,himart,553139,19018,29.09,0.12
라이나생명,himart,286366,18975,15.09,0.12
마나토끼,himart,421929,18922,22.3,0.12
뉴스톡,himart,488776,18916,25.84,0.12
티켓링크,himart,310244,18857,16.45,0.12
기아 커넥트,himart,482059,18820,25.61,0.12
BGF 리테일,himart,339980,18784,18.1,0.12
MissAV,himart,339475,18756,18.1,0.12
내트리를꾸며줘!,himart,608370,18701,32.53,0.12
북토끼,himart,431907,18423,23.44,0.12
탑툰,himart,291861,18034,16.18,0.11
현대 카페이,himart,428767,17929,23.91,0.11
미래에셋증권 M-STOCK,himart,902753,17612,51.26,0.11
한국투자증권,himart,409459,17377,23.56,0.11
Scorecard Research,himart,334543,17181,19.47,0.11
카카오버스,himart,321344,16493,19.48,0.1
SKT T전화,himart,930555,16471,56.5,0.1
밀리의 서재,himart,535919,16445,32.59,0.1
오늘의 퀴즈,himart,502296,16429,30.57,0.1
허블닷컴,himart,509975,16371,31.15,0.1
하퍼스 바자 코리아,himart,262153,16312,16.07,0.1
에스콰이어,himart,251298,16158,15.55,0.1
캐시닥,himart,784417,15891,49.36,0.1
Roblox,himart,3101225,15410,201.25,0.1
언니의파우치,himart,237812,15389,15.45,0.1
NH투자증권,himart,1595783,15198,105.0,0.1
퍼포멘토,himart,572566,15137,37.83,0.1
코스모폴리탄,himart,256817,15069,17.04,0.1
MG새마을금고,himart,259740,15002,17.31,0.1
Google,lge,168697925,271254,621.92,0.92
YouTube,lge,416312287,271253,1534.77,0.92
카카오 내비,lge,27927970,271226,102.97,0.92
Firebase Crashlytics,lge,20448332,271223,75.39,0.92
YouTube Music,lge,51184763,271222,188.72,0.92
다음,lge,155833585,271215,574.58,0.92
카카오,lge,138579811,271187,511.01,0.92
네이버,lge,342923701,271144,1264.73,0.92
Google 애널리틱스,lge,17913836,271067,66.09,0.92
Facebook,lge,183124924,270938,675.89,0.92
Google Play,lge,12448495,270769,45.97,0.92
카카오톡,lge,76880345,270624,284.09,0.92
카카오톡 오픈채팅,lge,22500939,270517,83.18,0.92
네이버 애널리틱스,lge,25764038,270457,95.26,0.92
Bing,lge,14742697,269824,54.64,0.91
네이버 지도,lge,40693510,269820,150.82,0.91
Google 어카운트,lge,19021533,269468,70.59,0.91
쿠팡,lge,251978162,269284,935.73,0.91
Taboola,lge,37765313,268604,140.6,0.91
네이버 쇼핑,lge,42083584,268600,156.68,0.91
네이버 통합검색,lge,57343378,268550,213.53,0.91
TikTok,lge,77725299,268433,289.55,0.91
jQuery,lge,8209466,268404,30.59,0.91
Coupang Partners,lge,26858288,267984,100.22,0.91
Criteo,lge,40519714,267910,151.24,0.91
Google Messages,lge,10334105,267745,38.6,0.91
Papago,lge,22597549,267734,84.4,0.91
네이버 Corporation,lge,19156527,267393,71.64,0.9
Teads,lge,14599866,266950,54.69,0.9
NHN TOAST,lge,13798362,266404,51.79,0.9
Media.net,lge,9745681,266216,36.61,0.9
Moloco,lge,21383935,264185,80.94,0.89
당근마켓,lge,42119030,263756,159.69,0.89
네이버 블로그,lge,33408694,263636,126.72,0.89
Insider,lge,5880754,263525,22.32,0.89
clarity,lge,18061293,263052,68.66,0.89
1rx,lge,6712549,262929,25.53,0.89
megadata,lge,5858191,262923,22.28,0.89
쿠팡이츠,lge,41265546,262585,157.15,0.89
Temu,lge,26214184,262477,99.87,0.89
Braze,lge,25154574,262403,95.86,0.89
Airbridge,lge,21523282,261666,82.25,0.89
DFINERY,lge,16181059,261301,61.92,0.88
에이스트레이더,lge,11285525,261167,43.21,0.88
벅스,lge,6144107,260576,23.58,0.88
UNPKG,lge,4718611,260468,18.12,0.88
토스,lge,164302301,260393,630.98,0.88
Amazon Web Services,lge,23641556,260144,90.88,0.88
InMobi,lge,17842898,259986,68.63,0.88
트위터,lge,11100825,259443,42.79,0.88
애드파이,lge,193731195,258452,749.58,0.87
네이버 페이,lge,9186470,257900,35.62,0.87
MezzoMedia,lge,7388035,257853,28.65,0.87
Pi Network,lge,8319055,257785,32.27,0.87
adbrix,lge,11836750,255313,46.36,0.86
네이버 스마트스토어,lge,12758586,255217,49.99,0.86
LG U+,lge,15554994,254547,61.11,0.86
카페24,lge,7271883,252973,28.75,0.86
네이버 플레이스,lge,10945036,252483,43.35,0.85
Vungle,lge,30222685,252235,119.82,0.85
Sentry,lge,23797171,251447,94.64,0.85
Unity,lge,120425169,250660,480.43,0.85
카카오페이,lge,30171699,250645,120.38,0.85
Instagram,lge,81999997,249075,329.22,0.84
채널톡,lge,10141174,248351,40.83,0.84
네이버 사전,lge,4804682,246820,19.47,0.84
네이버 내정보,lge,9909035,244769,40.48,0.83
AppLovin,lge,33152378,243536,136.13,0.82
TikTok Lite,lge,136372592,243017,561.16,0.82
카카오TV,lge,5744924,242679,23.67,0.82
openx,lge,7259740,241877,30.01,0.82
Buzzvil,lge,22720536,241345,94.14,0.82
Samsung,lge,42313990,241083,175.52,0.82
ntp,lge,16108599,238991,67.4,0.81
Hotjar,lge,5749024,236555,24.3,0.8
애피어,lge,7699359,235931,32.63,0.8
네이버 톡톡,lge,32081970,230285,139.31,0.78
크리마,lge,7807218,229247,34.06,0.78
카카오맵,lge,7779077,229181,33.94,0.78
AppsFlyer,lge,4369922,226060,19.33,0.76
Melon,lge,20230300,226048,89.5,0.76
Branch,lge,5231785,225576,23.19,0.76
AhnLab,lge,17769649,224886,79.02,0.76
hackle,lge,7056941,224004,31.5,0.76
G마켓,lge,26056273,222878,116.91,0.75
Rubicon Project,lge,5641186,222774,25.32,0.75
Mobon,lge,3515386,222584,15.79,0.75
Yahoo,lge,5294178,222551,23.79,0.75
ONE store,lge,19252374,219509,87.71,0.74
디지털캠프,lge,3880394,219068,17.71,0.74
네이버 카페,lge,16214052,218014,74.37,0.74
App Center,lge,13966971,217741,64.14,0.74
에디,lge,4237724,215309,19.68,0.73
국세청 홈택스,lge,4254035,213278,19.95,0.72
Gmail,lge,13824279,212482,65.06,0.72
Microsoft,lge,10652963,211469,50.38,0.72
아임웹,lge,5085544,210776,24.13,0.71
소스플렉스,lge,9448598,209977,45.0,0.71
Galaxy Wearable,lge,14567927,209582,69.51,0.71
네이버 뉴스,lge,9909647,207271,47.81,0.7
웨더뉴스,lge,16233779,202173,80.3,0.68
위메프,lge,3753066,200269,18.74,0.68
11번가,lge,18669185,195888,95.31,0.66
디시인사이드,lge,5727092,195030,29.37,0.66
OneDrive,lge,8312940,193522,42.96,0.65
AliExpress,lge,18302023,190820,95.91,0.65
샵라이브,lge,10736880,189885,56.54,0.64
Mobvista,lge,3150308,188536,16.71,0.64
올리브영,lge,10723585,184077,58.26,0.62
SmartThings,lge,8696184,183699,47.34,0.62
TNK FACTORY,lge,2813599,183499,15.33,0.62
Cauly Center,lge,6313395,183281,34.45,0.62
Samsung Cloud,lge,9733791,182993,53.19,0.62
캐시워크,lge,65712293,182291,360.48,0.62
DuckDuckGo,lge,5421284,181154,29.93,0.61
채티,lge,3236970,176936,18.29,0.6
배달의민족,lge,50207057,175117,286.71,0.59
네이버 메일,lge,2710203,173961,15.58,0.59
adPOPcorn,lge,5942149,172485,34.45,0.58
브이리뷰,lge,4959910,169552,29.25,0.57
라온시큐어,lge,3178863,165158,19.25,0.56
밴드,lge,19069441,164514,115.91,0.56
알약,lge,5082684,164360,30.92,0.56
KB Pay,lge,5185320,163591,31.7,0.55
taobao,lge,4071444,163180,24.95,0.55
토스증권,lge,21836962,162465,134.41,0.55
LIAPP,lge,4558149,159955,28.5,0.54
ExelBid,lge,16132738,159636,101.06,0.54
Alibaba,lge,4311016,159039,27.11,0.54
McAfee,lge,14439326,157706,91.56,0.53
CJ ONSTYLE,lge,6049876,157193,38.49,0.53
KB스타뱅킹,lge,14380097,156965,91.61,0.53
OneSignal,lge,4728511,156605,30.19,0.53
SSG.COM,lge,7766198,155585,49.92,0.53
요기요,lge,4980993,152821,32.59,0.52
Mintegral,lge,2394076,152439,15.71,0.52
Avatye,lge,9823961,152249,64.53,0.52
Netflix,lge,25833795,149057,173.31,0.5
T map,lge,14254894,148927,95.72,0.5
스카이프,lge,3788611,148412,25.53,0.5
삼성페이,lge,12353566,147582,83.71,0.5
카카오 뱅크,lge,17991329,147555,121.93,0.5
토스뱅크,lge,9549174,147144,64.9,0.5
신한페이판,lge,7081107,145871,48.54,0.49
네이버 스포츠,lge,7770654,144437,53.8,0.49
무신사,lge,12291349,142360,86.34,0.48
연합뉴스,lge,17032854,140905,120.88,0.48
삼쩜삼,lge,4018857,140548,28.59,0.48
Z Ai,lge,3591894,139884,25.68,0.47
e-ncp,lge,4490427,139870,32.1,0.47
LGU+ TSM,lge,2588237,139445,18.56,0.47
번개장터,lge,3715575,139298,26.67,0.47
iMBC,lge,4147510,135638,30.58,0.46
한겨레,lge,3070654,135400,22.68,0.46
zMaticoo,lge,2290894,134828,16.99,0.46
Adrop,lge,2283117,134308,17.0,0.45
LG전자 홈페이지,lge,2169553,134129,16.18,0.45
다음 뉴스,lge,2701325,132729,20.35,0.45
신한카드,lge,6557658,131708,49.79,0.45
엘포인트,lge,2132811,129748,16.44,0.44
GIPHY,lge,5397940,125947,42.86,0.43
